index,date,title,publication
1,NA,"After Dele Giwa, Dan Bello Takes the Stage -By Sale Rusulana Yanguruza",    Opinion Nigeria          Opinion Nigeria
2,NA,"Court Orders FG To Investigate, Prosecute Killers Of Dele Giwa, Other Journalists",    The Will (Nigeria)
3,NA,"UPDATED: Court orders FG to probe deaths of Dele Giwa, other journalists",    The Punch
4,NA,AFRICMIL invites young journalists to submit essays on late Dele Giwa,    The Nation (Nigeria)
5,NA,Dele Giwa: Not a vacuous judgment,    The Nation (Nigeria)
6,NA,"Dele Giwa: 37 Years After, His Message Remains Valid",    Osun Defender
7,NA,Re: A Vacuous Judgment on Dele Giwa,    Fresh Angle International Newspaper            Freshangle
8,NA,A Sound Judgment On Dele Giwa,    Daily Independent (Nigeria) IDOWU ADEWALE
9,NA,Re: A Vacuous Judgment on Dele Giwa,    Fresh Angle International Newspaper            Freshangle
10,NA,Court Orders AGF To Re-open Trial Of Dele Giwa's Killers,    Daily Independent (Nigeria) Paschal Njoku
