,docname,Newspaper,Year,Beginning of Passage,keyword,End of Passage
1,13735_0.txt,"The mountain sentinel (Ebensburg, Pa.)",1850,"is lynch law- high- handed measure . est fredericksburg , va . , july 23 . - a terrible outrage took place in culpepper , in this state , on wednesday last . a",mob,"of two hundred men , including justices ust of the peace , members of churches , and others , proceeded to the jail , resisted the sheriff , and carried off william grayson , a free negro . they dragged him to the woods , where they hung him dead"
2,13735_0.txt,"The mountain sentinel (Ebensburg, Pa.)",1850,"high- handed measure is this -grayson has twice been convicted of murdering david w . miller , a white man but each time he appealed , and the gen- eral court granted new trials , on the en ground that the testimony hardly justified suspicion- much less guilt . the",mob,"for allowed grayson one minute to confess . tate he firmly avowed his innocence of the murder . the mob then placed a fence rail across between two trees , and strung him up . this outrage has created in 30 tense excitement . the papers entreat the governor to"
3,13735_0.txt,"The mountain sentinel (Ebensburg, Pa.)",1850,"but each time he appealed , and the gen- eral court granted new trials , on the en ground that the testimony hardly justified suspicion- much less guilt . the mob for allowed grayson one minute to confess . tate he firmly avowed his innocence of the murder . the",mob,"then placed a fence rail across between two trees , and strung him up . this outrage has created in 30 tense excitement . the papers entreat the governor to arrest every man cerned in it . con"
4,13740_0.txt,Fair play (Ste. Genevieve ...),1906,"after listening to a speech by the governor of south carolina , in which he begged that the name of the state be not disgraced , a",mob,lynched negro . a
5,13741_0.txt,"The Madison daily leader (Madison, S.D.)",1905,"negro kentucky lynched . prisoner accused of attempting to en ter girl's room . elkton , ky . , oct . 13 . - shortly after midnight a",mob,"of 1,000 , supposed to be from trenton , took frank leavell , one- legged negro , from the jail here a and lynched him in a nearby wood . leavell was arrested on the charge of attempting to enter the room of a lady at trenton last saturday young"
6,13745_2.txt,"The Donaldsonville chief (Donaldsonville,...)",1907,"three memphis , tenn . , negroes charged with burglaries were taken from jail at tunica , . , by an un known",mob,and lynched miss .
7,13747_0.txt,"Live Oak daily Democrat. (Live Oak, Fla.)",1907,"followed shooting of five men in louisiana . cola , la . , april 16 . - the sequel of the shooting of five white men and two negroes at bunkie , la . , sunday , the lynching of the negro charlie was strauss , near here today .",masked,men took him away from deputies who had arrested him and it is stated that the deputies offered no resistence . the negro was hanged to a tree after which many shots were his body he was charged fired into . with assault upon a white woman . this was
8,13747_0.txt,"Live Oak daily Democrat. (Live Oak, Fla.)",1907,"followed shooting of five men in louisiana . cola , la . , april 16 . - the sequel of the shooting of five white men and two negroes at bunkie , la . , sunday , the lynching of the negro charlie was strauss , near here today .",masked men,took him away from deputies who had arrested him and it is stated that the deputies offered no resistence . the negro was hanged to a tree after which many shots were his body he was charged fired into . with assault upon a white woman . this was the
9,13747_0.txt,"Live Oak daily Democrat. (Live Oak, Fla.)",1907,"assault upon a white woman . this was the second attempt in two strauss , the first one days to lynch sunday night having resulted in the seriously wounding of five white men . strauss had been taken from the bunkie jail and escaped in the dark- ness while his",captors,were shooting at random . it is also alleged that negroes fired into lynching party . the
10,13751_0.txt,The Washington times (Washington [D.C...),1921,,mob,"threatens to lynch notorious chicago gunman chicago , aug . 1 . - policemen fought back a hostile crowd as they carried tommy o'connor , notorious gunman and alleged slayer of detective sergeant paddy o'neill , into the office of chief fitzmorris . "" lynch him ! "" members of"
