"","word1","word2","n"
"1","birth","control",1861
"2","health","care",935
"3","planned","parenthood",724
"4","chevy","chase",711
"5","family","planning",528
"6","supreme","court",502
"7","dr","arlington",452
"8","authoritative","content",450
"9","newstex","authoritative",450
"10","dr","fairfax",422
"11","george","mason",414
"12","falls","church",411
"13","mason","dr",410
"14","center","dr",401
"15","silver","spring",361
"16","reproductive","health",351
"17","minimally","invasive",350
"18","medical","center",331
"19","chair","cedars",316
"20","women's","health",294
"21","dr","reston",287
"22","prostate","cancer",263
"23","town","center",244
"24","northwest","dc",241
"25","dr","bethesda",235
"26","dr","rockville",231
"27","newstex","llc",227
"28","section","news",227
"29","los","angeles",220
"30","breast","cancer",219
