docname,Newspaper,Date,Beginning of Passage,keyword,End of Passage,Code,Comments
67_17,China Daily,2015-04-01T00:00:00Z,A plastic surgeon in Taiwan who performed a,vasectomy,"on himself has called it a "" gift "" to his wife .",NA,NA
67_21,China Daily,2015-04-01T00:00:00Z,"On January 9 , he shared a video of himself performing his own",vasectomy,on a social media platform . It attracted more than 4 million views .,NA,NA
67_22,China Daily,2015-04-01T00:00:00Z,Father of three Chen said he chose a,vasectomy,because of the respective ages of himself and his wife .,NA,NA
67_31,China Daily,2015-04-01T00:00:00Z,Some netizens questioned Chen's qualifications for performing a,vasectomy,as a plastic surgeon .,NA,NA
67_36,China Daily,2015-04-01T00:00:00Z,A local official also noted that it is common for male doctors to perform their own,vasectomies,.,NA,NA
67_38,China Daily,2015-04-01T00:00:00Z,""" Performing a",vasectomy,"at home is extremely dangerous . I strongly recommend consulting a professional urologist , "" he said .",NA,NA
67_39,China Daily,2015-04-01T00:00:00Z,The,self-vasectomy,"sparked much attention on social media , with the video getting more than 100,000 shares .",NA,NA
67_42,China Daily,2015-04-01T00:00:00Z,"In Taiwan , painless male",vasectomies,"normally cost 18,000 to 25,000 TWD ( US $ 550 to US $ 750 ) and allow same-day discharge .",NA,NA
67_51,China Daily,2015-04-01T00:00:00Z,Subject : SURGERY & TRANSPLANTATION ( 92 % ) ; COSMETIC & RECONSTRUCTIVE SURGERY ( 90 % ) ; PHYSICIANS & SURGEONS ( 90 % ) ;,REPRODUCTIVE,TECHNOLOGY ( 90 % ) ; HUMAN REPRODUCTIVE STERILIZATION ( 89 % ) ; OBSTETRICS & GYNECOLOGY ( 78 % ) ; PHOTO & VIDEO SHARING ( 78 % ) ; SOCIAL MEDIA ( 78 % ) ; UROLOGY ( 78 % ) ; WOUND CARE ( 77 % ),NA,NA
67_53,China Daily,2015-04-01T00:00:00Z,Industry : PHYSICIANS & SURGEONS ( 90 % ) ;,REPRODUCTIVE,TECHNOLOGY ( 90 % ) ; HUMAN REPRODUCTIVE STERILIZATION ( 89 % ) ; OBSTETRICS & GYNECOLOGY ( 78 % ) ; PHOTO & VIDEO SHARING ( 78 % ) ; PHYSICIAN PRACTICES ( 78 % ) ; SOCIAL MEDIA ( 78 % ) ; UROLOGY ( 78 % ),NA,NA
75_77,South China Morning Post,2012-11-25T00:00:00Z,Young men in China are sharing their,vasectomy,"experiences on social media platforms , as a symbol of being a "" new good man "" and advocating that contraception should not solely be a woman's responsibility .",NA,NA
75_78,South China Morning Post,2012-11-25T00:00:00Z,"Traditionally , women have borne most of the contraceptive burden , using methods such as intrauterine devices ( IUDs ) and",birth control,pills .,NA,NA
75_82,South China Morning Post,2012-11-25T00:00:00Z,"For men , a",vasectomy,is a minor surgical procedure that cuts or seals the tube that carries sperm from the testes and stops it from mixing with semen .,NA,NA
75_84,South China Morning Post,2012-11-25T00:00:00Z,"However , it is often perceived as detrimental to masculinity , with some believing that a",vasectomy,"will reduce a man's strength , despite the notion having no scientific basis .",NA,NA
75_86,South China Morning Post,2012-11-25T00:00:00Z,"According to the China Health and Family Planning Statistical Yearbook , in 2020 , there were a total of 14.7 million contraceptive surgeries nationwide , of which only 2,626 were male",vasectomies,.,NA,NA
75_87,South China Morning Post,2012-11-25T00:00:00Z,"Zhao Shanchao , a urologist at China's Nanfang Hospital , said that a",vasectomy,"can sometimes cause side effects , including incision infections and mild testicular pain .",NA,NA
75_88,South China Morning Post,2012-11-25T00:00:00Z,"Nevertheless , among all contraceptive methods ,",vasectomy,is still considered one of the safest and most effective birth control methods .,NA,NA
75_89,South China Morning Post,2012-11-25T00:00:00Z,"As gender equality gains traction , more young Chinese men are opting for",vasectomies,"and sharing their stories on social media platforms such as Xiaohongshu , Baidu , and Zhihu to support others considering the same .",NA,NA
75_90,South China Morning Post,2012-11-25T00:00:00Z,Mainland media reported that,vasectomy,"is now seen as a sign of the "" new good man "" .",NA,NA
75_92,South China Morning Post,2012-11-25T00:00:00Z,"Chen , a 29-year-old who underwent a",vasectomy,"in a hospital in Shanghai , told News Weekly that the procedure costs about 1,900 yuan ( US $ 270 ) , and after insurance coverage , he paid just 48 yuan ( US $ 7 ) .",NA,NA
75_93,South China Morning Post,2012-11-25T00:00:00Z,Another 26-year-old man who underwent a,vasectomy,"in March wrote on Xiaohongshu . "" I love my girlfriend . The recovery time for male sterilisation is shorter and less harmful to the body compared to females . """,NA,NA
75_98,South China Morning Post,2012-11-25T00:00:00Z,"One online observer wrote : "" Thumbs up for the boyfriends and husbands who undergo",vasectomy,". They are brave and show respect for women . """,NA,NA
75_99,South China Morning Post,2012-11-25T00:00:00Z,"Another had a different view : "" At the very least , sperm should be stored before",vasectomy,", just in case they regret it later in life and want children . """,NA,NA
75_108,South China Morning Post,2012-11-25T00:00:00Z,Subject : CONTRACEPTION ( 91 % ) ; SURGERY & TRANSPLANTATION ( 91 % ) ; GENDER EQUALITY ( 90 % ) ; HUMAN,REPRODUCTIVE,STERILIZATION ( 90 % ) ; REPRODUCTIVE TECHNOLOGY ( 90 % ) ; WOMEN ( 90 % ) ; MEN ( 89 % ) ; SOCIAL MEDIA ( 89 % ) ; FAMILY PLANNING ( 78 % ) ; INTERNATIONAL ORGANIZATIONS & BODIES ( 78 % ) ; MENSTRUATION (,NA,NA
75_112,South China Morning Post,2012-11-25T00:00:00Z,Industry : CONTRACEPTION ( 91 % ) ; HUMAN,REPRODUCTIVE,STERILIZATION ( 90 % ) ; REPRODUCTIVE TECHNOLOGY ( 90 % ) ; SOCIAL MEDIA ( 89 % ) ; UROLOGY ( 72 % ) ; HEALTH DEPARTMENTS ( 70 % ) ; INSURANCE COVERAGE ( 68 % ) ; PHYSICIANS & SURGEONS ( 68 % ),NA,NA
42_135,Xinhua General News Service,2023-01-29T00:00:00Z,"NAIROBI , Jan . 28 ( Xinhua ) - - The Kenya Wildlife Service ( KWS ) said Saturday it has conducted a successful",vasectomy,"on a three-year-old vulnerable lion at its veterinary laboratory in the capital , Nairobi , to control the breeding of the majestic carnivore while in a captive facility . The lion is being nurtured and rehabilitated at the facility after undergoing the procedure to prevent it from siring cubs ,",NA,NA
