"Coverage over Time","Coverage"
"2000-01-01 00:00:00",123
"2001-01-01 00:00:00",89
"2002-01-01 00:00:00",105
"2003-01-01 00:00:00",125
"2004-01-01 00:00:00",84
"2005-01-01 00:00:00",103
"2006-01-01 00:00:00",89
"2007-01-01 00:00:00",149
"2008-01-01 00:00:00",137
"2009-01-01 00:00:00",119
"2010-01-01 00:00:00",97
"2011-01-01 00:00:00",93
"2012-01-01 00:00:00",215
"2013-01-01 00:00:00",140
"2014-01-01 00:00:00",231
"2015-01-01 00:00:00",220
"2016-01-01 00:00:00",211
"2017-01-01 00:00:00",242
"2018-01-01 00:00:00",166
"2019-01-01 00:00:00",197
"2020-01-01 00:00:00",137
"2021-01-01 00:00:00",203
"2022-01-01 00:00:00",418
"2023-01-01 00:00:00",217
"2024-01-01 00:00:00",340
"2025-01-01 00:00:00",57
