"","word1","word2","n"
"1","birth","control",440
"2","supreme","court",138
"3","planned","parenthood",134
"4","health","care",123
"5","family","planning",81
"6","male","birth",81
"7","reproductive","health",54
"8","abortion","rights",53
"9","control","pill",53
"10","health","insurance",53
"11","nick","cannon",53
"12","cheat","sheet",50
"13","vasectomy","reversal",50
"14","male","contraceptive",49
"15","sheet","http",49
"16","reproductive","rights",47
"17","http","www.cheatsheet.com",46
"18","www.cheatsheet.com","delivered",46
"19","march","madness",38
"20","women's","health",38
